t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
0.37000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44740;1.22500;0.00197;0.52302;4.38899;21.75680;16.84478;37.65039;16.66881;3.32991;0.00503
0.38000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44734;1.22500;0.00197;0.54748;4.38843;21.58193;16.64602;37.21088;17.04091;3.50032;0.00503
0.39000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44729;1.22500;0.00197;0.57219;4.38787;21.40707;16.44700;36.77067;17.40862;3.67441;0.00503
0.40000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44723;1.22500;0.00197;0.59715;4.38731;21.23220;16.24773;36.32981;17.77192;3.85213;0.00503
0.41000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44717;1.22500;0.00197;0.62233;4.38675;21.05733;16.04824;35.88833;18.13080;4.03343;0.00503
0.42000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44711;1.22500;0.00197;0.64772;4.38619;20.88247;15.84855;35.44628;18.48527;4.21829;0.00503
0.43000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44706;1.22500;0.00197;0.67330;4.38563;20.70760;15.64867;35.00370;18.83530;4.40664;0.00503
0.44000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44700;1.22500;0.00197;0.69904;4.38507;20.53273;15.44862;34.56064;19.18091;4.59845;0.00503
0.45000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44694;1.22500;0.00197;0.72493;4.38451;20.35787;15.24843;34.11713;19.52208;4.79367;0.00503
0.46000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44689;1.22500;0.00197;0.75094;4.38395;20.18300;15.04810;33.67322;19.85881;4.99226;0.00503
0.47000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44683;1.22500;0.00197;0.77707;4.38339;19.97418;14.81371;33.15297;20.19034;5.19416;0.00503
0.48000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44677;1.22500;0.00197;0.80324;4.38283;19.76536;14.57929;32.63251;20.51667;5.39933;0.00503
0.49000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44672;1.22500;0.00197;0.82941;4.38227;19.55655;14.34486;32.11188;20.83779;5.60771;0.00503
0.50000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44666;1.22500;0.00197;0.85558;4.38171;19.34773;14.11044;31.59115;21.15370;5.81924;0.00503
0.51000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44660;1.22500;0.00197;0.88171;4.38115;19.13891;13.87604;31.07034;21.46440;6.03389;0.00503
0.52000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44654;1.22500;0.00197;0.90781;4.38059;18.93009;13.64169;30.54950;21.76990;6.25159;0.00503
0.53000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44649;1.22500;0.00197;0.93383;4.38003;18.72127;13.40741;30.02868;22.07018;6.47229;0.00503
0.54000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44643;1.22500;0.00197;0.95977;4.37947;18.51245;13.17321;29.50792;22.36526;6.69594;0.00503
0.55000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44637;1.22500;0.00197;0.98561;4.37891;18.30364;12.93912;28.98726;22.65513;6.92249;0.00503
0.56000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44632;1.22500;0.00197;1.01132;4.37835;18.09482;12.70514;28.46673;22.93980;7.15189;0.00503
0.57000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44626;1.22500;0.00197;1.03689;4.37779;17.88600;12.47131;27.94639;23.21927;7.38408;0.00503
0.58000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44620;1.22500;0.00197;1.06231;4.37723;17.80368;12.36413;27.70977;23.49636;7.61905;0.00503
0.59000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44614;1.22500;0.00197;1.08782;4.37667;17.72136;12.25687;27.47289;23.77109;7.85676;0.00503
0.60000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44609;1.22500;0.00197;1.11341;4.37611;17.63905;12.14952;27.23577;24.04345;8.09719;0.00503
0.61000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44603;1.22500;0.00197;1.13907;4.37555;17.55673;12.04211;26.99842;24.31343;8.34033;0.00503
0.62000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44597;1.22500;0.00197;1.16479;4.37499;17.47441;11.93462;26.76087;24.58104;8.58614;0.00503
0.63000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44592;1.22500;0.00197;1.19057;4.37443;17.39209;11.82708;26.52313;24.84627;8.83460;0.00503
0.64000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44586;1.22500;0.00197;1.21640;4.37387;17.30977;11.71949;26.28522;25.10913;9.08569;0.00503
0.65000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44580;1.22500;0.00197;1.24228;4.37331;17.22745;11.61186;26.04715;25.36960;9.33939;0.00503
0.66000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44574;1.22500;0.00197;1.26818;4.37275;17.14514;11.50420;25.80894;25.62769;9.59566;0.00503
0.67000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44569;1.22500;0.00197;1.29412;4.37219;17.06282;11.39650;25.57062;25.88339;9.85450;0.00503
0.68000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44563;1.22500;0.00197;1.32007;4.37163;16.98050;11.28879;25.33219;26.13672;10.11586;0.00503
