t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
0.00000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47827;1.22500;0.00197;0.00000;4.69184;38.00000;33.30816;69.64277;0.69643;0.00696;0.00503
0.01000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47815;1.22500;0.00197;0.00096;4.69063;38.00000;33.30841;69.66130;1.39304;0.02089;0.00503
0.02000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47802;1.22500;0.00197;0.00382;4.68942;38.00000;33.30676;69.67584;2.08980;0.04179;0.00503
0.03000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47790;1.22500;0.00197;0.00861;4.68821;38.00000;33.30319;69.68638;2.78666;0.06966;0.00503
0.04000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47778;1.22500;0.00197;0.01530;4.68700;38.00000;33.29770;69.69291;3.48359;0.10450;0.00503
0.05000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47765;1.22500;0.00197;0.02391;4.68578;38.00000;33.29030;69.69545;4.18055;0.14630;0.00503
0.06000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47753;1.22500;0.00197;0.03444;4.68457;38.00000;33.28099;69.69398;4.87749;0.19508;0.00503
0.07000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47741;1.22500;0.00197;0.04688;4.68336;38.00000;33.26976;69.68849;5.57437;0.25082;0.00503
0.08000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47728;1.22500;0.00197;0.06123;4.68215;38.00000;33.25662;69.67900;6.27116;0.31353;0.00503
0.09000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47716;1.22500;0.00197;0.07749;4.68094;38.00000;33.24157;69.66549;6.96782;0.38321;0.00503
0.10000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47704;1.22500;0.00197;0.09566;4.67973;38.00000;33.22461;69.64798;7.66430;0.45985;0.00503
0.11000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47691;1.22500;0.00197;0.11574;4.67851;38.00000;33.20574;69.62645;8.36056;0.54346;0.00503
0.12000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47679;1.22500;0.00197;0.13773;4.67730;38.00000;33.18497;69.60092;9.05657;0.63402;0.00503
0.13000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47667;1.22500;0.00197;0.16162;4.67609;38.00000;33.16229;69.57139;9.75228;0.73155;0.00503
0.14000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47654;1.22500;0.00197;0.18740;4.67488;38.00000;33.13772;69.53786;10.44766;0.83602;0.00503
0.15000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47642;1.22500;0.00197;0.21508;4.67367;38.00000;33.11126;69.50034;11.14267;0.94745;0.00503
0.16000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47630;1.22500;0.00197;0.24464;4.67245;38.00000;33.08290;69.45884;11.83725;1.06582;0.00503
0.17000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47617;1.22500;0.00197;0.27609;4.67124;38.00000;33.05266;69.41335;12.53139;1.19114;0.00503
0.18000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47605;1.22500;0.00197;0.30942;4.67003;38.00000;33.02054;69.36389;13.22503;1.32339;0.00503
0.19000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47592;1.22500;0.00197;0.34463;4.66882;38.00000;32.98655;69.31048;13.91813;1.46257;0.00503
0.20000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47580;1.22500;0.00197;0.38170;4.66761;38.00000;32.95070;69.25311;14.61066;1.60867;0.00503
0.21000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47568;1.22500;0.00197;0.42063;4.66640;38.00000;32.91298;69.19180;15.30258;1.76170;0.00503
0.22000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47555;1.22500;0.00197;0.46141;4.66518;38.00000;32.87341;69.12657;15.99385;1.92164;0.00503
0.23000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47543;1.22500;0.00197;0.50404;4.66397;38.00000;32.83199;69.05741;16.68442;2.08848;0.00503
0.24000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47531;1.22500;0.00197;0.54850;4.66276;38.00000;32.78874;68.98436;17.37426;2.26223;0.00503
0.25000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47518;1.22500;0.00197;0.59480;4.66155;38.00000;32.74366;68.90742;18.06334;2.44286;0.00503
0.26000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47506;1.22500;0.00197;0.64291;4.66034;38.00000;32.69675;68.82660;18.75160;2.63037;0.00503
0.27000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47494;1.22500;0.00197;0.69284;4.65912;38.00000;32.64804;68.74193;19.43902;2.82476;0.00503
0.28000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47481;1.22500;0.00197;0.74457;4.65791;38.00000;32.59752;68.65342;20.12556;3.02602;0.00503
0.29000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47469;1.22500;0.00197;0.79809;4.65670;38.00000;32.54521;68.56109;20.81117;3.23413;0.00503
0.30000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47457;1.22500;0.00197;0.85339;4.65549;38.00000;32.49112;68.46496;21.49582;3.44909;0.00503
0.31000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47444;1.22500;0.00197;0.91047;4.65428;38.00000;32.43526;68.36504;22.17947;3.67088;0.00503
0.32000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47432;1.22500;0.00197;0.96930;4.65307;38.00000;32.37764;68.26136;22.86208;3.89951;0.00503
0.33000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47420;1.22500;0.00197;1.02988;4.65185;38.00000;32.31827;68.15394;23.54362;4.13494;0.00503
0.34000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47407;1.22500;0.00197;1.09220;4.65064;38.00000;32.25716;68.04281;24.22405;4.37718;0.00503
0.35000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47395;1.22500;0.00197;1.15624;4.64943;38.00000;32.19433;67.92797;24.90333;4.62622;0.00503
0.36000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47382;1.22500;0.00197;1.22200;4.64822;38.00000;32.12978;67.80946;25.58142;4.88203;0.00503
0.37000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47370;1.22500;0.00197;1.28945;4.64701;38.00000;32.06354;67.68731;26.25830;5.14461;0.00503
0.38000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47358;1.22500;0.00197;1.35859;4.64579;38.00000;31.99561;67.56153;26.93391;5.41395;0.00503
0.39000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47345;1.22500;0.00197;1.42940;4.64458;38.00000;31.92602;67.43215;27.60823;5.69003;0.00503
0.40000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47333;1.22500;0.00197;1.50187;4.64337;38.00000;31.85476;67.29920;28.28123;5.97285;0.00503
0.41000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47321;1.22500;0.00197;1.57598;4.64216;38.00000;31.78186;67.16272;28.95285;6.26238;0.00503
0.42000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47308;1.22500;0.00197;1.65173;4.64095;38.00000;31.70733;67.02271;29.62308;6.55861;0.00503
0.43000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47296;1.22500;0.00197;1.72908;4.63974;38.00000;31.63118;66.87922;30.29187;6.86152;0.00503
0.44000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47284;1.22500;0.00197;1.80804;4.63852;38.00000;31.55344;66.73227;30.95919;7.17112;0.00503
0.45000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47271;1.22500;0.00197;1.88858;4.63731;38.00000;31.47411;66.58190;31.62501;7.48737;0.00503
0.46000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47259;1.22500;0.00197;1.97068;4.63610;38.00000;31.39322;66.42813;32.28930;7.81026;0.00503
0.47000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47247;1.22500;0.00197;2.05434;4.63489;38.00000;31.31077;66.27100;32.95201;8.13978;0.00503
0.48000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47234;1.22500;0.00197;2.13953;4.63368;38.00000;31.22679;66.11053;33.61311;8.47591;0.00503
0.49000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47222;1.22500;0.00197;2.22624;4.63246;38.00000;31.14129;65.94677;34.27258;8.81864;0.00503
0.50000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47210;1.22500;0.00197;2.31446;4.63125;38.00000;31.05429;65.77974;34.93038;9.16794;0.00503
0.51000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47197;1.22500;0.00197;2.40415;4.63004;37.86897;30.83477;65.33185;35.58369;9.52378;0.00503
0.52000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47185;1.22500;0.00197;2.49492;4.62883;37.73793;30.61418;64.88144;36.23251;9.88610;0.00503
0.53000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47172;1.22500;0.00197;2.58674;4.62762;37.60690;30.39254;64.42859;36.87679;10.25487;0.00503
0.54000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47160;1.22500;0.00197;2.67955;4.62641;37.47586;30.16991;63.97338;37.51653;10.63004;0.00503
0.55000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47148;1.22500;0.00197;2.77332;4.62519;37.34483;29.94631;63.51589;38.15169;11.01155;0.00503
0.56000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47135;1.22500;0.00197;2.86802;4.62398;37.21379;29.72179;63.05620;38.78225;11.39937;0.00503
0.57000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47123;1.22500;0.00197;2.96361;4.62277;37.08276;29.49638;62.59439;39.40819;11.79346;0.00503
0.58000;0.00000;9.81000;0.01000;0.04000;0.64000;0.47111;1.22500;0.00197;3.06005;4.62156;36.95172;29.27012;62.13053;40.02950;12.19375;0.00503
